"study","sub_study","y"
"CDA1-A","CDA1-A-CF1",339.96
"CDA1-A","CDA1-A-CF1",41.96
"CDA1-A","CDA1-A-CF1",75.96
"CDA1-A","CDA1-A-CF1",27.24
"CDA1-A","CDA1-A-CF1",40.096
"CDA1-A","CDA1-A-CF1",4.72
"CDA1-A","CDA1-A-CF1",23.976
"CDA1-A","CDA1-A-CF1",130.464
"CDA1-A","CDA1-A-CF1",787.53
"CDA1-A","CDA1-A-CF1",157.794
"CDA1-A","CDA1-A-CF1",47.04
"CDA1-A","CDA1-A-CF1",30.84
"CDA1-A","CDA1-A-CF1",226.56
"CDA1-A","CDA1-A-CF1",115.02
"CDA1-A","CDA1-A-CF1",68.04
"CDA1-A","CDA1-A-CF1",600.558
"CDA1-A","CDA1-A-CF1",617.7
"CDA1-A","CDA1-A-CF1",2.388
"CDA1-A","CDA1-A-CF1",243.992
"CDA1-A","CDA1-A-CF1",81.424
"CDA1-A","CDA1-A-CF1",238.56
"CDA1-A","CDA1-A-CF1",59.97
"CDA1-A","CDA1-A-CF1",78.304
"CDA1-A","CDA1-A-CF1",21.456
"CDA1-A","CDA1-A-CF1",20.04
"CDA1-A","CDA1-A-CF1",35.44
"CDA1-A","CDA1-A-CF1",11.52
"CDA1-A","CDA1-A-CF1",4.02
"CDA1-A","CDA1-A-CF1",76.176
"CDA1-A","CDA1-A-CF1",65.88
"CDA1-A","CDA1-A-CF1",43.12
"CDA1-A","CDA1-A-CF1",82.8
"CDA1-A","CDA1-A-CF1",8.82
"CDA1-A","CDA1-A-CF1",10.86
"CDA1-A","CDA1-A-CF1",143.7
"CDA1-A","CDA1-A-CF1",839.43
"CDA1-A","CDA1-A-CF1",671.93
"CDA1-A","CDA1-A-CF1",93.888
"CDA1-A","CDA1-A-CF1",384.45
"CDA1-A","CDA1-A-CF1",149.97
"CDA1-A","CDA1-A-CF1",1951.84
"CDA1-A","CDA1-A-CF1",171.55
"CDA1-A","CDA1-A-CF1",157.92
"CDA1-A","CDA1-A-CF1",203.184
"CDA1-A","CDA1-A-CF1",58.38
"CDA1-A","CDA1-A-CF1",105.52
"CDA1-A","CDA1-A-CF1",80.88
"CDA1-A","CDA1-A-CF1",6.63
"CDA1-A","CDA1-A-CF1",457.568
"CDA1-A","CDA1-A-CF1",14.62
"CDA1-A","CDA1-A-CF1",944.93
"CDA1-A","CDA1-A-CF1",5.98
"CDA1-A","CDA1-A-CF1",54.384
"CDA1-A","CDA1-A-CF1",28.4
"CDA1-A","CDA1-A-CF1",27.68
"CDA1-A","CDA1-A-CF1",9.936
"CDA1-A","CDA1-A-CF1",8159.952
"CDA1-A","CDA1-A-CF1",275.928
"CDA1-A","CDA1-A-CF1",1740.06
"CDA1-A","CDA1-A-CF1",32.064
"CDA1-A","CDA1-A-CF1",177.98
"CDA1-A","CDA1-A-CF1",143.976
"CDA1-A","CDA1-A-CF1",20.94
"CDA1-A","CDA1-A-CF1",110.96
"CDA1-A","CDA1-A-CF1",340.144
"CDA1-A","CDA1-A-CF1",52.448
"CDA1-A","CDA1-A-CF1",20.16
"CDA1-A","CDA1-A-CF1",97.264
"CDA1-A","CDA1-A-CF1",396.802
"CDA1-A","CDA1-A-CF1",15.88
"CDA1-A","CDA1-A-CF1",3.28
"CDA1-A","CDA1-A-CF1",24.816
"CDA1-A","CDA1-A-CF1",408.744
"CDA1-A","CDA1-A-CF1",503.96
"CDA1-A","CDA1-A-CF1",149.95
"CDA1-A","CDA1-A-CF1",29
"CDA1-A","CDA1-A-CF1",7.16
"CDA1-A","CDA1-A-CF1",176.8
"CDA1-A","CDA1-A-CF1",37.224
"CDA1-A","CDA1-A-CF1",20.016
"CDA1-A","CDA1-A-CF1",899.136
"CDA1-A","CDA1-A-CF1",71.76
"CDA1-A","CDA1-A-CF1",51.84
"CDA1-A","CDA1-A-CF1",626.352
"CDA1-A","CDA1-A-CF1",19.9
"CDA1-A","CDA1-A-CF1",14.28
"CDA1-A","CDA1-A-CF1",7.408
"CDA1-A","CDA1-A-CF1",6.048
"CDA1-A","CDA1-A-CF1",46.26
"CDA1-A","CDA1-A-CF1",2.946
"CDA1-A","CDA1-A-CF1",16.056
"CDA1-A","CDA1-A-CF1",21.744
"CDA1-A","CDA1-A-CF1",218.75
"CDA1-A","CDA1-A-CF1",2.6
"CDA1-A","CDA1-A-CF1",66.284
"CDA1-A","CDA1-A-CF1",35.168
"CDA1-A","CDA1-A-CF1",444.768
"CDA1-A","CDA1-A-CF1",83.92
"CDA1-A","CDA1-A-CF1",131.98
"CDA1-A","CDA1-A-CF1",15.92
"CDA1-A","CDA1-A-CF1",52.29
"CDA1-A","CDA1-A-CF1",91.99
"CDA1-A","CDA1-A-CF1",20.8
"CDA1-A","CDA1-A-CF1",23.68
"CDA1-A","CDA1-A-CF1",452.45
"CDA1-A","CDA1-A-CF1",62.982
"CDA1-A","CDA1-A-CF1",1188
"CDA1-A","CDA1-A-CF1",89.584
"CDA1-A","CDA1-A-CF1",93.06
"CDA1-A","CDA1-A-CF1",302.376
"CDA1-A","CDA1-A-CF1",5.584
"CDA1-A","CDA1-A-CF1",22.704
"CDA1-A","CDA1-A-CF1",19.776
"CDA1-A","CDA1-A-CF1",72.704
"CDA1-A","CDA1-A-CF1",479.988
"CDA1-A","CDA1-A-CF1",27.168
"CDA1-A","CDA1-A-CF1",2.2
"CDA1-A","CDA1-A-CF1",622.45
"CDA1-A","CDA1-A-CF1",21.98
"CDA1-A","CDA1-A-CF1",161.568
"CDA1-A","CDA1-A-CF1",389.696
"CDA1-A","CDA1-A-CF1",18.648
"CDA1-A","CDA1-A-CF1",233.86
"CDA1-A","CDA1-A-CF1",620.6145
"CDA1-A","CDA1-A-CF1",5.328
"CDA1-A","CDA1-A-CF1",258.072
"CDA1-A","CDA1-A-CF1",617.976
"CDA1-A","CDA1-A-CF1",10.56
"CDA1-A","CDA1-A-CF1",25.92
"CDA1-A","CDA1-A-CF1",419.68
"CDA1-A","CDA1-A-CF1",11.688
"CDA1-A","CDA1-A-CF1",31.984
"CDA1-A","CDA1-A-CF1",177.225
"CDA1-A","CDA1-A-CF1",4.044
"CDA1-A","CDA1-A-CF1",7.408
"CDA1-A","CDA1-A-CF1",2001.86
"CDA1-A","CDA1-A-CF1",166.72
"CDA1-A","CDA1-A-CF1",47.88
"CDA1-A","CDA1-A-CF1",1503.25
"CDA1-A","CDA1-A-CF1",25.92
"CDA1-A","CDA1-A-CF1",321.568
"CDA1-A","CDA1-A-CF1",7.61
"CDA1-A","CDA1-A-CF1",3347.37
"CDA1-A","CDA1-A-CF1",80.58
"CDA1-A","CDA1-A-CF1",361.92
"CDA1-A","CDA1-A-CF1",12.132
"CDA1-A","CDA1-A-CF1",82.368
"CDA1-A","CDA1-A-CF1",53.92
"CDA1-A","CDA1-A-CF1",647.904
"CDA1-A","CDA1-A-CF1",20.37
"CDA1-A","CDA1-A-CF1",221.55
"CDA1-A","CDA1-A-CF1",17.52
"CDA1-A","CDA1-A-CF1",1.624
"CDA1-A","CDA1-A-CF1",3059.982
"CDA1-A","CDA1-A-CF1",2519.958
"CDA1-A","CDA1-A-CF1",328.224
"CDA1-A","CDA1-A-CF1",79.9
"CDA1-A","CDA1-A-CF1",14.016
"CDA1-A","CDA1-A-CF1",7.56
"CDA1-A","CDA1-A-CF1",37.208
"CDA1-A","CDA1-A-CF1",57.576
"CDA1-A","CDA1-A-CF1",725.84
"CDA1-A","CDA1-A-CF1",209.93
"CDA1-A","CDA1-A-CF1",5.28
"CDA1-A","CDA1-A-CF1",10.92
"CDA1-A","CDA1-A-CF1",8.82
"CDA1-A","CDA1-A-CF1",5.98
"CDA1-A","CDA1-A-CF1",11.648
"CDA1-A","CDA1-A-CF1",18.176
"CDA1-A","CDA1-A-CF1",59.712
"CDA1-A","CDA1-A-CF1",24.84
"CDA1-A","CDA1-A-CF1",2.08
"CDA1-A","CDA1-A-CF1",1114.4
"CDA1-A","CDA1-A-CF1",1038.84
"CDA1-A","CDA1-A-CF1",141.76
"CDA1-A","CDA1-A-CF1",239.8
"CDA1-A","CDA1-A-CF1",31.104
"CDA1-A","CDA1-A-CF1",254.058
"CDA1-A","CDA1-A-CF1",194.528
"CDA1-A","CDA1-A-CF1",961.48
"CDA1-A","CDA1-A-CF1",19.096
"CDA1-A","CDA1-A-CF1",18.496
"CDA1-A","CDA1-A-CF1",255.984
"CDA1-A","CDA1-A-CF1",86.97
"CDA1-A","CDA1-A-CF1",300.416
"CDA1-A","CDA1-A-CF1",230.352
"CDA1-A","CDA1-A-CF1",218.352
"CDA1-A","CDA1-A-CF1",78.6
"CDA1-A","CDA1-A-CF1",27.552
"CDA1-A","CDA1-A-CF1",32.4
"CDA1-A","CDA1-A-CF1",1082.48
"CDA1-A","CDA1-A-CF1",56.91
"CDA1-A","CDA1-A-CF1",77.6
"CDA1-A","CDA1-A-CF1",14.28
"CDA1-A","CDA1-A-CF1",219.075
"CDA1-A","CDA1-A-CF1",26.8
"CDA1-A","CDA1-A-CF1",9.84
"CDA1-A","CDA1-A-CF1",45.48
"CDA1-A","CDA1-A-CF1",289.2
"CDA1-A","CDA1-A-CF1",4.89
"CDA1-A","CDA1-A-CF1",15.136
"CDA1-A","CDA1-A-CF1",466.768
"CDA1-A","CDA1-A-CF1",15.232
"CDA1-A","CDA1-A-CF1",6.264
"CDA1-A","CDA1-A-CF1",87.54
"CDA1-A","CDA1-A-CF1",178.384
"CDA1-A","CDA1-A-CF1",15.552
"CDA1-A","CDA1-A-CF1",99.136
"CDA1-A","CDA1-A-CF1",135.882
"CDA1-A","CDA1-A-CF1",3991.98
"CDA1-A","CDA1-A-CF1",275.94
"CDA1-A","CDA1-A-CF1",360
"CDA1-A","CDA1-A-CF1",43.57
"CDA1-A","CDA1-A-CF1",7.16
"CDA1-A","CDA1-A-CF1",251.52
"CDA1-A","CDA1-A-CF1",99.99
"CDA1-A","CDA1-A-CF1",15.992
"CDA1-A","CDA1-A-CF1",290.898
"CDA1-A","CDA1-A-CF1",54.224
"CDA1-A","CDA1-A-CF1",786.744
"CDA1-A","CDA1-A-CF1",100.24
"CDA1-A","CDA1-A-CF1",37.764
"CDA1-A","CDA1-A-CF1",82.8
"CDA1-A","CDA1-A-CF1",20.724
"CDA1-A","CDA1-A-CF1",4.896
"CDA1-A","CDA1-A-CF1",4.752
"CDA1-A","CDA1-A-CF1",959.984
"CDA1-A","CDA1-A-CF1",14.368
"CDA1-A","CDA1-A-CF1",7.712
"CDA1-A","CDA1-A-CF1",698.352
"CDA1-A","CDA1-A-CF1",4.96
"CDA1-A","CDA1-A-CF1",17.856
"CDA1-A","CDA1-A-CF1",509.97
"CDA1-A","CDA1-A-CF1",30.992
"CDA1-A","CDA1-A-CF1",71.928
"CDA1-A","CDA1-A-CF1",88.8
"CDA1-A","CDA1-A-CF1",47.976
"CDA1-A","CDA1-A-CF1",7.56
"CDA1-A","CDA1-A-CF1",24.56
"CDA1-A","CDA1-A-CF1",12.96
"CDA1-A","CDA1-A-CF1",6.79
"CDA1-A","CDA1-A-CF1",24.56
"CDA1-A","CDA1-A-CF1",3.048
"CDA1-A","CDA1-A-CF1",49.12
"CDA1-A","CDA1-A-CF1",4355.168
"CDA1-A","CDA1-A-CF1",388.704
"CDA1-A","CDA1-A-CF1",8.26
"CDA1-A","CDA1-A-CF1",17.04
"CDA1-A","CDA1-A-CF1",34.4
"CDA1-A","CDA1-A-CF1",36.24
"CDA1-A","CDA1-A-CF1",647.84
"CDA1-A","CDA1-A-CF1",20.7
"CDA1-A","CDA1-A-CF1",20.7
"CDA1-A","CDA1-A-CF1",488.646
"CDA1-A","CDA1-A-CF1",5.56
"CDA1-A","CDA1-A-CF1",47.12
"CDA1-A","CDA1-A-CF1",211.96
"CDA1-A","CDA1-A-CF1",23.2
"CDA1-A","CDA1-A-CF1",7.36
"CDA1-A","CDA1-A-CF1",104.79
"CDA1-A","CDA1-A-CF1",1043.92
"CDA1-A","CDA1-A-CF1",25.92
"CDA1-A","CDA1-A-CF1",53.424
"CDA1-A","CDA1-A-CF1",8.16
"CDA1-A","CDA1-A-CF1",1023.936
"CDA1-A","CDA1-A-CF1",9.24
"CDA1-A","CDA1-A-CF1",479.04
"CDA1-A","CDA1-A-CF1",99.136
"CDA1-A","CDA1-A-CF1",1488.424
"CDA1-A","CDA1-A-CF1",8.652
"CDA1-A","CDA1-A-CF1",23.832
"CDA1-A","CDA1-A-CF1",12.176
"CDA1-A","CDA1-A-CF1",50.96
"CDA1-A","CDA1-A-CF1",49.536
"CDA1-A","CDA1-A-CF1",41.9
"CDA1-A","CDA1-A-CF1",375.4575
"CDA1-A","CDA1-A-CF1",83.976
"CDA1-A","CDA1-A-CF1",482.34
"CDA1-A","CDA1-A-CF1",2.96
"CDA1-A","CDA1-A-CF1",2.624
"CDA1-A","CDA1-A-CF1",23.36
"CDA1-A","CDA1-A-CF1",39.98
"CDA1-A","CDA1-A-CF1",246.384
"CDA1-A","CDA1-A-CF1",1799.97
"CDA1-A","CDA1-A-CF1",12.462
"CDA1-A","CDA1-A-CF1",75.792
"CDA1-A","CDA1-A-CF1",49.96
"CDA1-A","CDA1-A-CF1",12.96
"CDA1-A","CDA1-A-CF1",70.12
"CDA1-A","CDA1-A-CF1",35.952
"CDA1-A","CDA1-A-CF1",2396.2656
"CDA1-A","CDA1-A-CF1",131.136
"CDA1-A","CDA1-A-CF1",57.584
"CDA1-A","CDA1-A-CF1",9.568
"CDA1-A","CDA1-A-CF1",39.072
"CDA1-A","CDA1-A-CF1",35.91
"CDA1-A","CDA1-A-CF1",179.95
"CDA1-A","CDA1-A-CF1",1199.976
"CDA1-A","CDA1-A-CF1",27.15
"CDA1-A","CDA1-A-CF1",1004.024
"CDA1-A","CDA1-A-CF1",9.68
"CDA1-A","CDA1-A-CF1",28.35
"CDA1-A","CDA1-A-CF1",55.98
"CDA1-A","CDA1-A-CF1",1336.829
"CDA1-A","CDA1-A-CF1",113.568
"CDA1-A","CDA1-A-CF1",139.86
"CDA1-A","CDA1-A-CF1",307.136
"CDA1-A","CDA1-A-CF1",95.92
"CDA1-A","CDA1-A-CF1",383.8
"CDA1-A","CDA1-A-CF1",5.78
"CDA1-A","CDA1-A-CF1",9.32
"CDA1-A","CDA1-A-CF1",15.25
"CDA1-A","CDA1-A-CF1",196.752
"CDA1-A","CDA1-A-CF1",56.56
"CDA1-A","CDA1-A-CF1",32.7
"CDA1-A","CDA1-A-CF1",866.4
"CDA1-A","CDA1-A-CF1",28.4
"CDA1-A","CDA1-A-CF1",287.92
"CDA1-A","CDA1-A-CF1",69.99
"CDA1-A","CDA1-A-CF1",6.672
"CDA1-A","CDA1-A-CF1",189.588
"CDA1-A","CDA1-A-CF1",408.744
"CDA1-A","CDA1-A-CF1",291.96
"CDA1-A","CDA1-A-CF1",4.768
"CDA1-A","CDA1-A-CF1",714.3
"CDA1-A","CDA1-A-CF1",4.812
"CDA1-A","CDA1-A-CF1",247.8
"CDA1-A","CDA1-A-CF1",1007.979
"CDA1-A","CDA1-A-CF1",313.488
"CDA1-A","CDA1-A-CF1",31.872
"CDA1-A","CDA1-A-CF1",207.846
"CDA1-A","CDA1-A-CF1",12.22
"CDA1-A","CDA1-A-CF1",194.94
"CDA1-A","CDA1-A-CF1",70.95
"CDA1-A","CDA1-A-CF1",91.36
"CDA1-A","CDA1-A-CF1",242.94
"CDA1-A","CDA1-A-CF1",22.05
"CDA1-A","CDA1-A-CF1",2.91
"CDA1-A","CDA1-A-CF1",59.52
"CDA1-A","CDA1-A-CF1",161.94
"CDA1-A","CDA1-A-CF1",263.88
"CDA1-A","CDA1-A-CF1",30.48
"CDA1-A","CDA1-A-CF1",9.84
"CDA1-A","CDA1-A-CF1",35.12
"CDA1-A","CDA1-A-CF1",284.364
"CDA1-A","CDA1-A-CF1",665.408
"CDA1-A","CDA1-A-CF1",63.88
"CDA1-A","CDA1-A-CF1",129.568
"CDA1-A","CDA1-A-CF1",747.558
"CDA1-A","CDA1-A-CF1",8.928
"CDA1-A","CDA1-A-CF1",103.92
"CDA1-A","CDA1-A-CF1",899.91
"CDA1-A","CDA1-A-CF1",51.312
"CDA1-A","CDA1-A-CF1",23.56
"CDA1-A","CDA1-A-CF1",1272.63
"CDA1-A","CDA1-A-CF1",28.485
"CDA1-A","CDA1-A-CF1",185.376
"CDA1-A","CDA1-A-CF1",78.272
"CDA1-A","CDA1-A-CF1",254.744
"CDA1-A","CDA1-A-CF1",205.3328
"CDA1-A","CDA1-A-CF1",4.788
"CDA1-A","CDA1-A-CF1",55.48
"CDA1-A","CDA1-A-CF1",340.92
"CDA1-A","CDA1-A-CF1",222.666
"CDA1-A","CDA1-A-CF1",703.968
"CDA1-A","CDA1-A-CF1",92.52
"CDA1-A","CDA1-A-CF1",62.65
"CDA1-A","CDA1-A-CF1",94.85
"CDA1-A","CDA1-A-CF1",95.76
"CDA1-A","CDA1-A-CF1",40.2
"CDA1-A","CDA1-A-CF1",14.7
"CDA1-A","CDA1-A-CF1",704.25
"CDA1-A","CDA1-A-CF1",9.09
"CDA1-A","CDA1-A-CF1",5.96
"CDA1-A","CDA1-A-CF1",159.98
"CDA1-A","CDA1-A-CF1",29.6
"CDA1-A","CDA1-A-CF1",514.165
"CDA1-A","CDA1-A-CF1",279.96
"CDA1-A","CDA1-A-CF1",2735.952
"CDA1-A","CDA1-A-CF1",7.992
"CDA1-A","CDA1-A-CF1",63.984
"CDA1-A","CDA1-A-CF1",70.368
"CDA1-A","CDA1-A-CF1",449.15
"CDA1-A","CDA1-A-CF1",11.07
"CDA1-A","CDA1-A-CF1",93.98
"CDA1-A","CDA1-A-CF1",189.882
"CDA1-A","CDA1-A-CF1",105.42
"CDA1-A","CDA1-A-CF1",119.616
"CDA1-A","CDA1-A-CF1",255.76
"CDA1-A","CDA1-A-CF1",241.568
"CDA1-A","CDA1-A-CF1",69.3
"CDA1-A","CDA1-A-CF1",22.62
"CDA1-A","CDA1-A-CF1",14.952
"CDA1-A","CDA1-A-CF1",801.568
"CDA1-A","CDA1-A-CF1",2.376
"CDA1-A","CDA1-A-CF1",32.792
"CDA1-A","CDA1-A-CF1",15.92
"CDA1-A","CDA1-A-CF1",2.74
"CDA1-A","CDA1-A-CF1",8.34
"CDA1-A","CDA1-A-CF1",46.74
"CDA1-A","CDA1-A-CF1",6354.95
"CDA1-A","CDA1-A-CF1",126.3
"CDA1-A","CDA1-A-CF1",38.04
"CDA1-A","CDA1-A-CF1",7.152
"CDA1-A","CDA1-A-CF1",6.63
"CDA1-A","CDA1-A-CF1",5.88
"CDA1-A","CDA1-A-CF1",2999.95
"CDA1-A","CDA1-A-CF1",51.45
"CDA1-A","CDA1-A-CF1",11.96
"CDA1-A","CDA1-A-CF1",1126.02
"CDA1-A","CDA1-A-CF1",18.392
"CDA1-A","CDA1-A-CF1",129.568
"CDA1-A","CDA1-A-CF1",14.112
"CDA1-A","CDA1-A-CF1",210.98
"CDA1-A","CDA1-A-CF1",55.176
"CDA1-A","CDA1-A-CF1",66.26
"CDA1-A","CDA1-A-CF1",22.2
"CDA1-A","CDA1-A-CF1",683.952
"CDA1-A","CDA1-A-CF1",45.696
"CDA1-A","CDA1-A-CF1",36.336
"CDA1-A","CDA1-A-CF1",666.248
"CDA1-A","CDA1-A-CF1",52.512
"CDA1-A","CDA1-A-CF1",190.72
"CDA1-A","CDA1-A-CF1",47.94
"CDA1-A","CDA1-A-CF1",979.95
"CDA1-A","CDA1-A-CF1",22.75
"CDA1-A","CDA1-A-CF1",16.768
"CDA1-A","CDA1-A-CF1",42.616
"CDA1-A","CDA1-A-CF1",10.752
"CDA1-A","CDA1-A-CF1",152.94
"CDA1-A","CDA1-A-CF1",283.92
"CDA1-A","CDA1-A-CF1",468.9
"CDA1-A","CDA1-A-CF1",380.864
"CDA1-A","CDA1-A-CF1",646.776
"CDA1-A","CDA1-A-CF1",58.112
"CDA1-A","CDA1-A-CF1",100.792
"CDA1-A","CDA1-A-CF1",66.112
"CDA1-A","CDA1-A-CF1",41.28
"CDA1-A","CDA1-A-CF1",13.36
"CDA1-A","CDA1-A-CF1",250.272
"CDA1-A","CDA1-A-CF1",11.364
"CDA1-A","CDA1-A-CF1",8.72
"CDA1-A","CDA1-A-CF1",1121.568
"CDA1-A","CDA1-A-CF1",34.504
"CDA1-A","CDA1-A-CF1",10.824
"CDA1-A","CDA1-A-CF1",1295.78
"CDA1-A","CDA1-A-CF1",19.456
"CDA1-A","CDA1-A-CF1",20.7
"CDA1-A","CDA1-A-CF1",1335.68
"CDA1-A","CDA1-A-CF1",32.4
"CDA1-A","CDA1-A-CF1",42.6
"CDA1-A","CDA1-A-CF1",84.056
"CDA1-A","CDA1-A-CF1",13
"CDA1-A","CDA1-A-CF1",13.128
"CDA1-A","CDA1-A-CF1",3.96
"CDA1-A","CDA1-A-CF1",2.61
"CDA1-A","CDA1-A-CF1",374.376
"CDA1-A","CDA1-A-CF1",91.84
"CDA1-A","CDA1-A-CF1",81.088
"CDA1-A","CDA1-A-CF1",19.44
"CDA1-A","CDA1-A-CF1",451.152
"CDA1-A","CDA1-A-CF1",72.45
"CDA1-A","CDA1-A-CF1",13.96
"CDA1-A","CDA1-A-CF1",33.264
"CDA1-A","CDA1-A-CF1",14.85
"CDA1-A","CDA1-A-CF1",8.82
"CDA1-A","CDA1-A-CF1",160.72
"CDA1-A","CDA1-A-CF1",19.92
"CDA1-A","CDA1-A-CF1",7.3
"CDA1-A","CDA1-A-CF1",69.712
"CDA1-A","CDA1-A-CF1",8.792
"CDA1-A","CDA1-A-CF1",51.52
"CDA1-A","CDA1-A-CF1",470.376
"CDA1-A","CDA1-A-CF1",105.584
"CDA1-A","CDA1-A-CF1",31.152
"CDA1-A","CDA1-A-CF1",6.783
"CDA1-A","CDA1-A-CF1",406.368
"CDA1-A","CDA1-A-CF1",70.98
"CDA1-A","CDA1-A-CF1",294.93
"CDA1-A","CDA1-A-CF1",84.784
"CDA1-A","CDA1-A-CF1",20.736
"CDA1-A","CDA1-A-CF1",16.821
"CDA1-A","CDA1-A-CF1",10.368
"CDA1-A","CDA1-A-CF1",9.344
"CDA1-A","CDA1-A-CF1",31.2
"CDA1-A","CDA1-A-CF1",76.12
"CDA1-A","CDA1-A-CF1",1199.976
"CDA1-A","CDA1-A-CF1",445.96
"CDA1-A","CDA1-A-CF1",327.76
"CDA1-A","CDA1-A-CF1",11.632
"CDA1-A","CDA1-A-CF1",143.982
"CDA1-A","CDA1-A-CF1",494.376
"CDA1-A","CDA1-A-CF1",5.84
"CDA1-A","CDA1-A-CF1",142.776
"CDA1-A","CDA1-A-CF1",45.696
"CDA1-A","CDA1-A-CF1",7.218
"CDA1-A","CDA1-A-CF1",43.188
